coherence,consistency,fluency,relevance,id,model_id,annotator,reference_summary,generated_summary,direction,rouge1,rougel,bertscore_P,bertscore_R,bertscore_F1,bartscore,moverscore,menli,idx,DiscoScore_F,DiscoScore_S,MENLI_W0.8,MENLI_W0.2,MENLI_W0.3,sum,id_model
3.0,2.0,1.5,2.0,27.0,chatGPT_title,3,"Ein kleines Mädchen besucht verbotenerweise Frau Trude, erzählt ihr bang, wie es einen schwarzen, einen grünen und einen roten Mann bei ihr sah. Frau Trude tut alles als Köhler, Jäger und Metzger ab. Als es sagt, dass es Frau Trude als Teufel gesehen hat, gibt sich die Hexe zu erkennen, verwandelt das Kind in Holz, wirft es ins Feuer und wärmt sich daran.","Gerne gebe ich Ihnen eine Zusammenfassung der Geschichte ""Frau Trude"" von den Brüdern Grimm auf Deutsch.
Die Geschichte handelt von einem Mädchen namens Gretchen, das von ihrer Mutter gewarnt wird, nicht zu dem Haus von Frau Trude zu gehen. Aber Gretchen ist neugierig und geht trotzdem zu ihrem Haus.
Frau Trude ist eine böse Hexe, die Gretchen in ihr Haus lockt und ihr zeigt, dass sie alle ihre Freunde und Verwandten in Puppen verwandelt hat. Als Gretchen versucht zu fliehen, verwandelt Frau Trude sie auch in eine Puppe.
Die Geschichte reflektiert auf das Thema der Konsequenzen unserer Handlungen und Entscheidungen. Es zeigt auch, wie unsere Neugier und Ungehorsam uns manchmal in Schwierigkeiten bringen können.
Ich hoffe, dass diese Zusammenfassung Ihnen weiterhilft!",hEn,0.2783505154639175,0.1752577319587629,0.8492592,0.8686304,0.8588356,-4.071075916290283,0.8624237691132766,-0.9979273,27-chatGPT_title,0.01428139830391,0.9212509393692015,0.130533288189785,0.5203790384958258,0.4554047467781522,8.5,27.0_chatGPT_title
2.5,4.0,2.0,4.0,27.0,chatGPT_pipeline,3,"Ein kleines Mädchen besucht verbotenerweise Frau Trude, erzählt ihr bang, wie es einen schwarzen, einen grünen und einen roten Mann bei ihr sah. Frau Trude tut alles als Köhler, Jäger und Metzger ab. Als es sagt, dass es Frau Trude als Teufel gesehen hat, gibt sich die Hexe zu erkennen, verwandelt das Kind in Holz, wirft es ins Feuer und wärmt sich daran.",Eine ungehorsame und neugierige kleine Mädchen geht gegen den Willen ihrer Eltern zu einer bösen Frau namens Frau Trude und sieht merkwürdige Dinge in ihrem Haus. Frau Trude verwandelt das Mädchen schließlich in einen Holzblock und verbrennt es im Feuer.,hEn,0.3333333333333333,0.263157894736842,0.90532863,0.8769481,0.8909124,-3.8639283180236816,0.8909215836229664,-0.28543645,27-chatGPT_pipeline,0.3799954651519603,0.9417869448661804,0.4604893217143359,0.770085557673161,0.7184861850133567,12.5,27.0_chatGPT_pipeline
2.0,2.0,1.5,2.0,45.0,5,3,"Ein Förster findet ein schreiendes Kind auf einem Baum, das ein Raubvogel aus dem Mutterschoß geraubt hat. Er zieht es mit seiner Tochter Lenchen zusammen auf und nennt es Fundevogel. Eines Abends holt die Köchin viel Wasser und verrät Lenchen, die verspricht, es niemandem zu sagen, dass sie Fundevogel morgen darin kochen will. Als der Förster früh fortgeht, fliehen Lenchen und Fundevogel gemeinsam. Dreimal schickt die Köchin die Knechte nach, aber die Kinder verwandeln sich, einmal in einen Rosenstock mit Blüte, dann in eine Kirche mit einer Krone darin und schließlich in einen Teich mit einer Ente darauf. Die Hexe schickt jedes Mal die Knechte, kommt schließlich selbst und will den See aussaufen, aber die Ente zieht sie hinein. Da muss sie ertrinken, und die Kinder leben froh.","Ein Forester geht in den Wald zu jagen, und er hört ein kleines Kind, das sich auf einem hohen Baum befindet. Als er das Kind auf einem Baum findet, schlägt er es auf den Baum, und ein Vogel schläft es auf. Als die beiden Kinder sich aneinander gewöhnen, findet er den Fundevogel. Als der Köhler zwei Pfähle nimmt, nimmt er die Kinder und Lina ins Bett und fetcht ihn ins Wasser. Als das Wasser in demkessel kocht, geht der Koch in den Kühlkessel und wirft Lina in den Topf. Als es in denkessel geht, wird Lina in das Wasser geworfen und kocht es in dem kettle. Als Lina das Wasser kocht und Lina sagt, dass es nichts mehr gibt, boil die Kinder in derkessel, kocht aber das Kind in der Kirche und bringt den Chandelier nach Hause. Die drei Kinder kommen nach Hause, und Lina sieht, dass die Kinder nie da sind. Als sie nach Hause kommen, wird die alte Hexe und die Hexe mit den Kindern nach Hause gegangen. Die Hexe geht mit den drei Kleidern nach Hause und bringt sie in den Fluss, um sie zu trinken.",hEN-DE,0.3303303303303303,0.1981981981981981,0.871833,0.86151516,0.8666434,-4.904487133026123,0.8612984326357347,-0.0030269555,45-5,1.3714069365083672,0.9684453010559082,0.5398617466705815,0.6634134950202839,0.6428215369620001,7.5,45.0_5
3.5,2.5,2.0,1.5,45.0,11,3,"Ein Förster findet ein schreiendes Kind auf einem Baum, das ein Raubvogel aus dem Mutterschoß geraubt hat. Er zieht es mit seiner Tochter Lenchen zusammen auf und nennt es Fundevogel. Eines Abends holt die Köchin viel Wasser und verrät Lenchen, die verspricht, es niemandem zu sagen, dass sie Fundevogel morgen darin kochen will. Als der Förster früh fortgeht, fliehen Lenchen und Fundevogel gemeinsam. Dreimal schickt die Köchin die Knechte nach, aber die Kinder verwandeln sich, einmal in einen Rosenstock mit Blüte, dann in eine Kirche mit einer Krone darin und schließlich in einen Teich mit einer Ente darauf. Die Hexe schickt jedes Mal die Knechte, kommt schließlich selbst und will den See aussaufen, aber die Ente zieht sie hinein. Da muss sie ertrinken, und die Kinder leben froh.","Ein Forster, der eine Jagd im Wald macht, sieht ein kleines Kind auf einem hohen Baum, das er mit seiner Lina nach Hause nimmt. Als die beiden Kinder zusammenwachsen, verliebt er sich in Fundevogel und Lina. Ein altes Koch, der zwei Pfoten fetcht, kocht die Kinder und wirft sie in einem Wasserkessel. Als der Forster auf Jagd geht und die Kinder ins Wasser kocht, wirft er ihn in denkessel und kocht ihn in demkessel, dann kocht er ihn. Als er das Wasser imkessel kocht und die Kleider wehen, geht der Koch ins Bett. Als das Kind weg ist, wird er von drei Kleidern serviert, die die Kinder nicht verlassen können. Als es sich um einen Rosenbuss handelt, gibt es keine Kleider, die man in der Kirche finden kann, und es gibt einen Kronleuchter in einer Kirche, in der es einen Glockenstein gibt. Da geht der alte Koch mit den drei Dienern nach Hause, um die Kinder zu töten. Als sie tot sind, geht die alte Hexe mit der Ente nach Hause und wird verwächscht, indem sie den Enten in den Brunnen schlägt.",hEN-DE,0.3653250773993808,0.2105263157894737,0.86419207,0.86811554,0.86614937,-4.455058574676514,0.865548929829128,-0.0017834364,45-11,0.9976041099335008,0.9744277596473694,0.5396730249055317,0.6607909184404218,0.6406046028512734,9.5,45.0_11
1.5,2.0,2.0,2.0,45.0,2,3,"Ein Förster findet ein schreiendes Kind auf einem Baum, das ein Raubvogel aus dem Mutterschoß geraubt hat. Er zieht es mit seiner Tochter Lenchen zusammen auf und nennt es Fundevogel. Eines Abends holt die Köchin viel Wasser und verrät Lenchen, die verspricht, es niemandem zu sagen, dass sie Fundevogel morgen darin kochen will. Als der Förster früh fortgeht, fliehen Lenchen und Fundevogel gemeinsam. Dreimal schickt die Köchin die Knechte nach, aber die Kinder verwandeln sich, einmal in einen Rosenstock mit Blüte, dann in eine Kirche mit einer Krone darin und schließlich in einen Teich mit einer Ente darauf. Die Hexe schickt jedes Mal die Knechte, kommt schließlich selbst und will den See aussaufen, aber die Ente zieht sie hinein. Da muss sie ertrinken, und die Kinder leben froh.","Ein Jäger hört ein Geräusch, das ein kleines Kind auf einem Baum hört, wo es sich um eine Kirche handelt. Als die Mutter unter dem Baum mit dem Kind schläft und ein Vogel es in ihren Armen sieht, fliegt der alte Köhler mit den drei Dienern nach Hause und bringt das Kind auf den Baum. Als der Diener ihm sagt, er wolle Fundevogel mitbringen, will ihn nie verlassen. Der Fundevogel sagt ihm, er sei ein Fischfang und werde die Ente auf ihm sein. Als sie den See sehen, in dem sie liegt, soll sie ihn trinken, aber der Ente muss sie ertrinken. Dann kommen die Kinder heim und sind erfreut, dass sie noch lebendig sind. Der Koch sagt ihnen, er werde das Wasser kochen, wenn es in dem Kessel kocht, und wenn es im Kessel boielt, wird sie in den Kessel geworfen und in ihn kochen. Am nächsten Morgen, als der Jäger aus der Jagd ist, wird das Wasser gehüllt und die Kinder sind noch im Bett. Dann sagt sie dem Fundewogel, wenn er mich nie verlassen wird, werde ich ihn auch nie verlassen, aber auch nicht jetzt, noch nie. Als er den Fischfang auffindet, wird er eine Ente, und die beiden Kinder sind tot. Dann wird die alte Hexe ertrinkt.",hEN-DE,0.3529411764705882,0.1736694677871148,0.8661756,0.87269753,0.86942434,-4.824942111968994,0.8521605545130257,-0.12141305,45-2,0.0823650451743517,0.944572687149048,0.4963120073699598,0.6670232003236197,0.638571334831343,7.5,45.0_2
1.5,1.5,1.0,1.5,45.0,6,3,"Ein Förster findet ein schreiendes Kind auf einem Baum, das ein Raubvogel aus dem Mutterschoß geraubt hat. Er zieht es mit seiner Tochter Lenchen zusammen auf und nennt es Fundevogel. Eines Abends holt die Köchin viel Wasser und verrät Lenchen, die verspricht, es niemandem zu sagen, dass sie Fundevogel morgen darin kochen will. Als der Förster früh fortgeht, fliehen Lenchen und Fundevogel gemeinsam. Dreimal schickt die Köchin die Knechte nach, aber die Kinder verwandeln sich, einmal in einen Rosenstock mit Blüte, dann in eine Kirche mit einer Krone darin und schließlich in einen Teich mit einer Ente darauf. Die Hexe schickt jedes Mal die Knechte, kommt schließlich selbst und will den See aussaufen, aber die Ente zieht sie hinein. Da muss sie ertrinken, und die Kinder leben froh.","Ein jünger Jäger kommt zu einem Baum, an dem ein kleines Kind sitzt. Der Jäger nimmt das Kind mit nach Hause und bringt es mit seiner Lina auf den Baum. Die beiden Kinder liebt sich sehr. Eines Abends geht ein altes Koch Sanna mit zwei Pfählen nach draußen, um Wasser zu holen. Als der Jäger den Wasserkessel holt, wirft er ihn in den Kessel und wirft ihn dann ins Bett. Als die drei Diener nach Hause kommen, rät er sich, dass die Kinder weg sind, dann holt er sie in den Ofen und holt dann die Diener zurück. Als sie die Kinder nach Hause bringen, findet sie eine Kirche und einen Kronleuchter in der Kirche, und der Köchling schlägt die Kinder auf den Beinen der alten Hexe. Die Kinder werden von der Hexe verwelkt und fangen an zu trinken, da die Hexe die Ente in den Teich gießt. Dann sind die Kinder tot, und die alte Hexe schwimmen nach Hause, wo die Kinder wiederkommen und die Kinder glücklich sind, da sie nicht tot sind. Er rät den alten Koch den Kindern, dass er sie nicht mehr verlassen wird.",hEN-DE,0.3668639053254438,0.2011834319526627,0.8805053,0.87228173,0.8763742,-4.829555034637451,0.865121318228966,0.004642841,45-6,3.268932342256886,0.9702420234680176,0.55646083321452,0.7182902766465308,0.6913187027411956,5.5,45.0_6
2.0,1.5,1.5,1.5,45.0,1,3,"Ein Förster findet ein schreiendes Kind auf einem Baum, das ein Raubvogel aus dem Mutterschoß geraubt hat. Er zieht es mit seiner Tochter Lenchen zusammen auf und nennt es Fundevogel. Eines Abends holt die Köchin viel Wasser und verrät Lenchen, die verspricht, es niemandem zu sagen, dass sie Fundevogel morgen darin kochen will. Als der Förster früh fortgeht, fliehen Lenchen und Fundevogel gemeinsam. Dreimal schickt die Köchin die Knechte nach, aber die Kinder verwandeln sich, einmal in einen Rosenstock mit Blüte, dann in eine Kirche mit einer Krone darin und schließlich in einen Teich mit einer Ente darauf. Die Hexe schickt jedes Mal die Knechte, kommt schließlich selbst und will den See aussaufen, aber die Ente zieht sie hinein. Da muss sie ertrinken, und die Kinder leben froh.","Ein Jäger geht in den Wald und hört ein Geräusch, dass es nur eine Kirche und einen Kronleuchter gibt. Als der Köhler das hört, legt er das Kind mit in den Baum. Als die Mutter unter dem Baum mit dem Kind schläft und ein Vogel es in die Arme legt, wirft er es in den Teich und kocht es in dem Teich. Am nächsten Morgen, wenn der Jäger aus der Jagd ist und die Kinder im Bett sind, holt er es mit nach Hause. Der Köhling sagt dem Kind, er wolle ihn nie verlassen. Der Fundevogel sagt, er werde kein Kind mehr verlassen. Als er ihn auf einen Baum findet, sagt er: ""Sei ein Fischfang und werde ich die Ente auf ihm sein."" Als die Köhlerin den Fischfang gesehen hat, wird sie von einer alten Hexe getrunken. Die Hexe sagt ihr, sie werde es nicht wiederholen. Als sie es wiederholt, werden die Kinder tot. Die Kinder kommen heim und leben noch, wenn sie nicht tot sind. Die alte Hexe drängt sie ins Wasser. Die beiden Kinder werden tot, aber die Hexe stirbt. Die drei Hexen sind glücklich.",hEN-DE,0.3869047619047619,0.1666666666666666,0.8791023,0.86963105,0.8743411,-4.656947612762451,0.8654401397921024,-0.0030945903,45-1,0.8781090904168093,0.9524505734443665,0.5505355608897772,0.7062103352238724,0.6802645395015231,6.5,45.0_1
2.5,2.0,2.0,1.5,45.0,3,3,"Ein Förster findet ein schreiendes Kind auf einem Baum, das ein Raubvogel aus dem Mutterschoß geraubt hat. Er zieht es mit seiner Tochter Lenchen zusammen auf und nennt es Fundevogel. Eines Abends holt die Köchin viel Wasser und verrät Lenchen, die verspricht, es niemandem zu sagen, dass sie Fundevogel morgen darin kochen will. Als der Förster früh fortgeht, fliehen Lenchen und Fundevogel gemeinsam. Dreimal schickt die Köchin die Knechte nach, aber die Kinder verwandeln sich, einmal in einen Rosenstock mit Blüte, dann in eine Kirche mit einer Krone darin und schließlich in einen Teich mit einer Ente darauf. Die Hexe schickt jedes Mal die Knechte, kommt schließlich selbst und will den See aussaufen, aber die Ente zieht sie hinein. Da muss sie ertrinken, und die Kinder leben froh.","Eines Abends geht ein Jäger in den Wald und hört ein Geräusch, dass es nur ein kleines Kind gibt, das auf einem hohen Baum sitzt. Die Mutter schläft unter dem Baum und bringt den Kronleuchter mit. Ein Raubvogel sieht das Kind in den Armen, fliegt hinab und jagt es mit den drei Dienern auf den hohen Baum. Als der Diener das Kind mitnimmt, wirft der Fundevogel das Wasser in den Kessel und kocht es darin. Der Diener sagt dem Kind, er werde das Wasser kochen, und wenn es im Kessel kocht, wird es in den Fundevogel geworfen. Als die Diener es wiederholen, werden die Kinder noch im Bett. Die Die Dienerin sagt, sie werde es dem Kind erzählen. Am nächsten Morgen, wenn der Jäger aus der Jagd ist, legt sie den Wasserkessel auf den Wasserknopf und koucht es ins Wasser, und dann muss die alte Hexe sie drinnen drinnen vertreiben. Als sie aber nicht tot sind, werden sie noch lebendig. Die Kinder kommen heim und bewundern den Köchin. Der Köchin erzählt ihr, dass sie das nicht sagen wird, und sie ist erschrocken.",hEN-DE,0.3768996960486322,0.182370820668693,0.87440634,0.8726288,0.8735166,-4.42815637588501,0.8666967892147487,-0.004358573,45-3,0.0696641802734193,0.9667446613311768,0.5488831414992345,0.701499082255119,0.6760630921291382,8.0,45.0_3
2.0,1.5,1.0,1.5,45.0,4,3,"Ein Förster findet ein schreiendes Kind auf einem Baum, das ein Raubvogel aus dem Mutterschoß geraubt hat. Er zieht es mit seiner Tochter Lenchen zusammen auf und nennt es Fundevogel. Eines Abends holt die Köchin viel Wasser und verrät Lenchen, die verspricht, es niemandem zu sagen, dass sie Fundevogel morgen darin kochen will. Als der Förster früh fortgeht, fliehen Lenchen und Fundevogel gemeinsam. Dreimal schickt die Köchin die Knechte nach, aber die Kinder verwandeln sich, einmal in einen Rosenstock mit Blüte, dann in eine Kirche mit einer Krone darin und schließlich in einen Teich mit einer Ente darauf. Die Hexe schickt jedes Mal die Knechte, kommt schließlich selbst und will den See aussaufen, aber die Ente zieht sie hinein. Da muss sie ertrinken, und die Kinder leben froh.","Ein Forester, der ein kleines Kind im Wald jagen will, schläft es in die Arme eines Vogels, das es in den Arm des Baumes schießt. Er nimmt es mit seiner Linna nach Hause, und die beiden Kinder werden zusammen. Die beiden lieben sich so sehr, dass, wenn sie sich nicht sehen, sie traurig werden. Ein alter Koch nimmt zwei Pfähe und holt Wasser, das er nicht nur einmal, sondern oft aus dem Brunnen holt. Als er das Wasser wiederholt, will er es niemandem wiederholen, und wenn es im Brunnen boielt, wird er ihn in den Brunnen geben. Der Koch schickt drei Diener nach, die die Kinder ins Bett treiben, um die Kinder zu befreien. Als die Kinder tot sind, werden sie von der alten Hexe heimgekehrt. Die Hexe sieht die Hexe und sagt, sie wolle sie nie verlassen, und sie werde auch nie verlassen. Als sie nicht tot bleiben, will sie sie sagen, sie werde der Ente auf sie. Der Köch schickt sie in die Betten, so dass beide Kinder weg sind. Als der Köch zurückkehrt, sagt er, sie habe nichts mehr zu sagen, als zu sagen.",hEN-DE,0.3636363636363636,0.1818181818181818,0.8723809,0.8642666,0.8683048,-4.744218349456787,0.8642159786216521,-0.0050807134,45-4,2.04515375380591,0.9495004415512084,0.5413487651557904,0.6724461875293057,0.6505966171337199,6.0,45.0_4
3.0,1.5,3.0,1.5,45.0,chatGPT_title,3,"Ein Förster findet ein schreiendes Kind auf einem Baum, das ein Raubvogel aus dem Mutterschoß geraubt hat. Er zieht es mit seiner Tochter Lenchen zusammen auf und nennt es Fundevogel. Eines Abends holt die Köchin viel Wasser und verrät Lenchen, die verspricht, es niemandem zu sagen, dass sie Fundevogel morgen darin kochen will. Als der Förster früh fortgeht, fliehen Lenchen und Fundevogel gemeinsam. Dreimal schickt die Köchin die Knechte nach, aber die Kinder verwandeln sich, einmal in einen Rosenstock mit Blüte, dann in eine Kirche mit einer Krone darin und schließlich in einen Teich mit einer Ente darauf. Die Hexe schickt jedes Mal die Knechte, kommt schließlich selbst und will den See aussaufen, aber die Ente zieht sie hinein. Da muss sie ertrinken, und die Kinder leben froh.","Gerne gebe ich Ihnen eine Zusammenfassung der Geschichte ""Fundevogel"" von den Brüdern Grimm auf Deutsch.
Die Geschichte handelt von einem jungen Paar, das zusammenlebt und glücklich ist. Aber die böse Stiefmutter des Mädchens ist eifersüchtig auf ihre Liebe und beschließt, sie zu trennen.
Sie lockt das Mädchen in den Wald und lässt es dort alleine zurück. Aber der junge Mann, der als ""Fundevogel"" bekannt ist, findet das Mädchen und beschließt, ihr zu helfen, zurück nach Hause zu gelangen.
Sie fliehen zusammen, aber die Stiefmutter und ihre Helfer verfolgen sie und versuchen, sie zu fangen. Aber Fundevogel nutzt seine Intelligenz, um sie zu besiegen und das Mädchen sicher nach Hause zu bringen.
Am Ende heiraten das Mädchen und Fundevogel und leben glücklich zusammen.
Die Geschichte reflektiert auf das Thema der Liebe und der Überwindung von Hindernissen. Es zeigt auch, wie unsere Intelligenz und unser Verstand uns helfen können, schwierige Situationen zu bewältigen.
Ich hoffe, dass diese Zusammenfassung Ihnen weiterhilft!",hEn,0.2435897435897435,0.1346153846153846,0.85414517,0.8563123,0.85522735,-4.711219787597656,0.8614936353114722,-0.9834038,45-chatGPT_title,0.0417343775384943,0.9465676546096802,0.1313342136618154,0.5017693329832724,0.4400301464296962,9.0,45.0_chatGPT_title
