coherence,consistency,fluency,relevance,id,model_id,annotator,reference_summary,generated_summary,direction,rouge1,rougel,bertscore_P,bertscore_R,bertscore_F1,bartscore,moverscore,menli,idx,DiscoScore_F,DiscoScore_S,MENLI_W0.8,MENLI_W0.2,MENLI_W0.3,sum
1.5,2.0,3.0,2.5,199.0,1,2,"A poor boy, called ""Golden"" because of his hair, is walking through the forest at night with his five brothers on their way home, when a woman with a spindle of crystal appears in the moonlight among the trees and sings, ""The white finch, the golden rose, The queen in the sea lap!""  When her thread breaks, the woman disappears.
The brothers scatter in fright. Goldener can no longer find his way home and only after several days he meets a birdcatcher who teaches him his trade. When Goldener catches a white finch to test his skills, the birdcatcher believes that Goldener is in league with the devil, kills the bird and chases Goldener away.
After three days of wandering in the forest, Goldener meets a gardener who apprentices him. After a few days, the gardener sends him into the forest so that Goldener can bring him a rosebush on which to graft noble roses. When Goldener returns with a rosebush of beautiful golden roses, the gardener is incensed because he thinks Goldener has made a pact with the devil, destroys the rosebush and drives Goldener away.
After three days, Goldener leaves the forest behind and reaches the sea, where he boards a barque when the fishermen suddenly row out to sea. There Goldener is to cast the net, when he pulls up a golden crown, the fishermen inform him that he is the new king of the land. The old king had been left without a successor a hundred years ago, and before his death he had sunk his crown in the sea and appointed as his successor the one who could snatch it back from the sea.","A poor shepherd and his six children live in a large house in the forest. He feeds them with a pond and a garden. On the third day, the youngest one is called Goldener, because his hair is gold. When Goldener goes out into the woods, he finds his father's hut in the darkest patch of forest, where the moon rises. Goldener is surprised when he sees a woman carrying golden roses. She jumps into the blue sea, where Goldener lives happily. One evening, Goldener plays with her father, and Goldener becomes as bright as a rose petal. The first one tells Goldener that he is going back to his father, but Goldener comes back with a petal of the finest gold. The second one that is the brightest on a moon. The third one that tells Golder that Golder is the best goldsmith on earth. Golder jumps out of the garden with his head and sings: ""The white finch, the golden rose, the queen in the sea sniff!"" He jumps back into the jungle with a branch of the tree, where Golder disappears. When Golder returns, the children run away. The next day, Golder runs away, and Golder finds a golden life on a beautiful green meadow. In the blue water, the bird flies out with golden hair and the king's crown. The golden crown is cast into the sea. The bird's parents laugh at Golder, but Golder laughs at Goldener. He goes back to the countryside and finds gold in the water. He is surprised to find Golder's house. He returns home with a rope of gold and a golden rose. The moon shines on him, but he is disappointed to find Goldener still alive. The gold crown falls into the water, where he is hanged by a bird, and the golden horn hangs from the rope. He falls into a river, where golden horns fly from the sea, and then he falls to sleep. He sleeps asleep on the river, and finally he is awakened.",hDE-EN,0.4959742351046698,0.2383252818035426,0.5724945,0.56440693,0.568422,-3.2005653381347656,0.5832747020197223,-0.22650759,199-1,1.0562544157690696,0.9753295183181764,0.418715963920531,0.5115465644959265,0.4960747977333605,9.0
2.0,1.0,3.0,1.5,199.0,1,3,"A poor boy, called ""Golden"" because of his hair, is walking through the forest at night with his five brothers on their way home, when a woman with a spindle of crystal appears in the moonlight among the trees and sings, ""The white finch, the golden rose, The queen in the sea lap!""  When her thread breaks, the woman disappears.
The brothers scatter in fright. Goldener can no longer find his way home and only after several days he meets a birdcatcher who teaches him his trade. When Goldener catches a white finch to test his skills, the birdcatcher believes that Goldener is in league with the devil, kills the bird and chases Goldener away.
After three days of wandering in the forest, Goldener meets a gardener who apprentices him. After a few days, the gardener sends him into the forest so that Goldener can bring him a rosebush on which to graft noble roses. When Goldener returns with a rosebush of beautiful golden roses, the gardener is incensed because he thinks Goldener has made a pact with the devil, destroys the rosebush and drives Goldener away.
After three days, Goldener leaves the forest behind and reaches the sea, where he boards a barque when the fishermen suddenly row out to sea. There Goldener is to cast the net, when he pulls up a golden crown, the fishermen inform him that he is the new king of the land. The old king had been left without a successor a hundred years ago, and before his death he had sunk his crown in the sea and appointed as his successor the one who could snatch it back from the sea.","A poor shepherd and his six children live in a large house in the forest. He feeds them with a pond and a garden. On the third day, the youngest one is called Goldener, because his hair is gold. When Goldener goes out into the woods, he finds his father's hut in the darkest patch of forest, where the moon rises. Goldener is surprised when he sees a woman carrying golden roses. She jumps into the blue sea, where Goldener lives happily. One evening, Goldener plays with her father, and Goldener becomes as bright as a rose petal. The first one tells Goldener that he is going back to his father, but Goldener comes back with a petal of the finest gold. The second one that is the brightest on a moon. The third one that tells Golder that Golder is the best goldsmith on earth. Golder jumps out of the garden with his head and sings: ""The white finch, the golden rose, the queen in the sea sniff!"" He jumps back into the jungle with a branch of the tree, where Golder disappears. When Golder returns, the children run away. The next day, Golder runs away, and Golder finds a golden life on a beautiful green meadow. In the blue water, the bird flies out with golden hair and the king's crown. The golden crown is cast into the sea. The bird's parents laugh at Golder, but Golder laughs at Goldener. He goes back to the countryside and finds gold in the water. He is surprised to find Golder's house. He returns home with a rope of gold and a golden rose. The moon shines on him, but he is disappointed to find Goldener still alive. The gold crown falls into the water, where he is hanged by a bird, and the golden horn hangs from the rope. He falls into a river, where golden horns fly from the sea, and then he falls to sleep. He sleeps asleep on the river, and finally he is awakened.",hDE-EN,0.4959742351046698,0.2383252818035426,0.5724945,0.56440693,0.568422,-3.2005653381347656,0.5832747020197223,-0.22650759,199-1,1.0562544157690696,0.9753295183181764,0.418715963920531,0.5115465644959265,0.4960747977333605,7.5
1.5,2.0,3.0,2.0,199.0,1,1,"A poor boy, called ""Golden"" because of his hair, is walking through the forest at night with his five brothers on their way home, when a woman with a spindle of crystal appears in the moonlight among the trees and sings, ""The white finch, the golden rose, The queen in the sea lap!""  When her thread breaks, the woman disappears.
The brothers scatter in fright. Goldener can no longer find his way home and only after several days he meets a birdcatcher who teaches him his trade. When Goldener catches a white finch to test his skills, the birdcatcher believes that Goldener is in league with the devil, kills the bird and chases Goldener away.
After three days of wandering in the forest, Goldener meets a gardener who apprentices him. After a few days, the gardener sends him into the forest so that Goldener can bring him a rosebush on which to graft noble roses. When Goldener returns with a rosebush of beautiful golden roses, the gardener is incensed because he thinks Goldener has made a pact with the devil, destroys the rosebush and drives Goldener away.
After three days, Goldener leaves the forest behind and reaches the sea, where he boards a barque when the fishermen suddenly row out to sea. There Goldener is to cast the net, when he pulls up a golden crown, the fishermen inform him that he is the new king of the land. The old king had been left without a successor a hundred years ago, and before his death he had sunk his crown in the sea and appointed as his successor the one who could snatch it back from the sea.","A poor shepherd and his six children live in a large house in the forest. He feeds them with a pond and a garden. On the third day, the youngest one is called Goldener, because his hair is gold. When Goldener goes out into the woods, he finds his father's hut in the darkest patch of forest, where the moon rises. Goldener is surprised when he sees a woman carrying golden roses. She jumps into the blue sea, where Goldener lives happily. One evening, Goldener plays with her father, and Goldener becomes as bright as a rose petal. The first one tells Goldener that he is going back to his father, but Goldener comes back with a petal of the finest gold. The second one that is the brightest on a moon. The third one that tells Golder that Golder is the best goldsmith on earth. Golder jumps out of the garden with his head and sings: ""The white finch, the golden rose, the queen in the sea sniff!"" He jumps back into the jungle with a branch of the tree, where Golder disappears. When Golder returns, the children run away. The next day, Golder runs away, and Golder finds a golden life on a beautiful green meadow. In the blue water, the bird flies out with golden hair and the king's crown. The golden crown is cast into the sea. The bird's parents laugh at Golder, but Golder laughs at Goldener. He goes back to the countryside and finds gold in the water. He is surprised to find Golder's house. He returns home with a rope of gold and a golden rose. The moon shines on him, but he is disappointed to find Goldener still alive. The gold crown falls into the water, where he is hanged by a bird, and the golden horn hangs from the rope. He falls into a river, where golden horns fly from the sea, and then he falls to sleep. He sleeps asleep on the river, and finally he is awakened.",hDE-EN,0.4959742351046698,0.2383252818035426,0.5724945,0.56440693,0.568422,-3.2005653381347656,0.5832747020197223,-0.22650759,199-1,1.0562544157690696,0.9753295183181764,0.418715963920531,0.5115465644959265,0.4960747977333605,8.5
1.5,1.5,2.5,1.5,199.0,1,4,"A poor boy, called ""Golden"" because of his hair, is walking through the forest at night with his five brothers on their way home, when a woman with a spindle of crystal appears in the moonlight among the trees and sings, ""The white finch, the golden rose, The queen in the sea lap!""  When her thread breaks, the woman disappears.
The brothers scatter in fright. Goldener can no longer find his way home and only after several days he meets a birdcatcher who teaches him his trade. When Goldener catches a white finch to test his skills, the birdcatcher believes that Goldener is in league with the devil, kills the bird and chases Goldener away.
After three days of wandering in the forest, Goldener meets a gardener who apprentices him. After a few days, the gardener sends him into the forest so that Goldener can bring him a rosebush on which to graft noble roses. When Goldener returns with a rosebush of beautiful golden roses, the gardener is incensed because he thinks Goldener has made a pact with the devil, destroys the rosebush and drives Goldener away.
After three days, Goldener leaves the forest behind and reaches the sea, where he boards a barque when the fishermen suddenly row out to sea. There Goldener is to cast the net, when he pulls up a golden crown, the fishermen inform him that he is the new king of the land. The old king had been left without a successor a hundred years ago, and before his death he had sunk his crown in the sea and appointed as his successor the one who could snatch it back from the sea.","A poor shepherd and his six children live in a large house in the forest. He feeds them with a pond and a garden. On the third day, the youngest one is called Goldener, because his hair is gold. When Goldener goes out into the woods, he finds his father's hut in the darkest patch of forest, where the moon rises. Goldener is surprised when he sees a woman carrying golden roses. She jumps into the blue sea, where Goldener lives happily. One evening, Goldener plays with her father, and Goldener becomes as bright as a rose petal. The first one tells Goldener that he is going back to his father, but Goldener comes back with a petal of the finest gold. The second one that is the brightest on a moon. The third one that tells Golder that Golder is the best goldsmith on earth. Golder jumps out of the garden with his head and sings: ""The white finch, the golden rose, the queen in the sea sniff!"" He jumps back into the jungle with a branch of the tree, where Golder disappears. When Golder returns, the children run away. The next day, Golder runs away, and Golder finds a golden life on a beautiful green meadow. In the blue water, the bird flies out with golden hair and the king's crown. The golden crown is cast into the sea. The bird's parents laugh at Golder, but Golder laughs at Goldener. He goes back to the countryside and finds gold in the water. He is surprised to find Golder's house. He returns home with a rope of gold and a golden rose. The moon shines on him, but he is disappointed to find Goldener still alive. The gold crown falls into the water, where he is hanged by a bird, and the golden horn hangs from the rope. He falls into a river, where golden horns fly from the sea, and then he falls to sleep. He sleeps asleep on the river, and finally he is awakened.",hDE-EN,0.4959742351046698,0.2383252818035426,0.5724945,0.56440693,0.568422,-3.2005653381347656,0.5832747020197223,-0.22650759,199-1,1.0562544157690696,0.9753295183181764,0.418715963920531,0.5115465644959265,0.4960747977333605,7.0
2.5,1.5,3.0,1.5,199.0,1,5,"A poor boy, called ""Golden"" because of his hair, is walking through the forest at night with his five brothers on their way home, when a woman with a spindle of crystal appears in the moonlight among the trees and sings, ""The white finch, the golden rose, The queen in the sea lap!""  When her thread breaks, the woman disappears.
The brothers scatter in fright. Goldener can no longer find his way home and only after several days he meets a birdcatcher who teaches him his trade. When Goldener catches a white finch to test his skills, the birdcatcher believes that Goldener is in league with the devil, kills the bird and chases Goldener away.
After three days of wandering in the forest, Goldener meets a gardener who apprentices him. After a few days, the gardener sends him into the forest so that Goldener can bring him a rosebush on which to graft noble roses. When Goldener returns with a rosebush of beautiful golden roses, the gardener is incensed because he thinks Goldener has made a pact with the devil, destroys the rosebush and drives Goldener away.
After three days, Goldener leaves the forest behind and reaches the sea, where he boards a barque when the fishermen suddenly row out to sea. There Goldener is to cast the net, when he pulls up a golden crown, the fishermen inform him that he is the new king of the land. The old king had been left without a successor a hundred years ago, and before his death he had sunk his crown in the sea and appointed as his successor the one who could snatch it back from the sea.","A poor shepherd and his six children live in a large house in the forest. He feeds them with a pond and a garden. On the third day, the youngest one is called Goldener, because his hair is gold. When Goldener goes out into the woods, he finds his father's hut in the darkest patch of forest, where the moon rises. Goldener is surprised when he sees a woman carrying golden roses. She jumps into the blue sea, where Goldener lives happily. One evening, Goldener plays with her father, and Goldener becomes as bright as a rose petal. The first one tells Goldener that he is going back to his father, but Goldener comes back with a petal of the finest gold. The second one that is the brightest on a moon. The third one that tells Golder that Golder is the best goldsmith on earth. Golder jumps out of the garden with his head and sings: ""The white finch, the golden rose, the queen in the sea sniff!"" He jumps back into the jungle with a branch of the tree, where Golder disappears. When Golder returns, the children run away. The next day, Golder runs away, and Golder finds a golden life on a beautiful green meadow. In the blue water, the bird flies out with golden hair and the king's crown. The golden crown is cast into the sea. The bird's parents laugh at Golder, but Golder laughs at Goldener. He goes back to the countryside and finds gold in the water. He is surprised to find Golder's house. He returns home with a rope of gold and a golden rose. The moon shines on him, but he is disappointed to find Goldener still alive. The gold crown falls into the water, where he is hanged by a bird, and the golden horn hangs from the rope. He falls into a river, where golden horns fly from the sea, and then he falls to sleep. He sleeps asleep on the river, and finally he is awakened.",hDE-EN,0.4959742351046698,0.2383252818035426,0.5724945,0.56440693,0.568422,-3.2005653381347656,0.5832747020197223,-0.22650759,199-1,1.0562544157690696,0.9753295183181764,0.418715963920531,0.5115465644959265,0.4960747977333605,8.5
2.0,2.0,3.0,1.5,208.0,1,2,"A young knight hunts a white hind and finds a beautiful maiden with a gold chain at a river, which he takes from her and leads her home as a bride. But his mother hates her, takes her seven newborn children and puts down dogs for them. A servant is supposed to kill the children in the forest, but fails to do so and leaves them there. The beauty is buried up to her chest, gets only dog food, above her a washbasin, everyone dries their hands on her hair, for seven years. Once in the forest the knight sees the children with their gold chains. His mother is frightened, the servant has to look for them and have the chains melted down. The goldsmith succeeds only with one. Without the chains, the sons must remain swans. At the mountain lake, the knight lets them feed. Their sister begs and shares with their mother. They do not know each other, but resemble each other so much that the knight lets the child tell. His mother still tries to have it killed by the servant, is herself put into the hole, the swans redeemed, except for one, of which one finds ""in many a book much strange adventure described.""","A rich and beautiful young knight has to fight in the forest for seven years. He sees a white hind (Hirschkuh) with a golden necklace in her hand. When he tries to kill the hind, the knight finds a golden ring in the woods. The knight's mother tells him to give it to the hind. The hind has a ring in it, the hind has gold chains, and the hind hates it. When the hind thinks that the hind is his wife, he sends the hind back to the castle, where the hind's parents are dead. In the process the hind becomes a snake, but when the hind returns, it is his mother who gives the hind the golden chains. She gives him a ring, but the hind does not recognize the snake's human form. He takes it from the hind and gives it to his mother, who gives him the ring, and then the hind to his daughter. The young knee-maker, however, does not believe in the human form of the hind until the hind turns into a swallow. The swallow turns out to be swallows and the swallow becomes human. When she returns home, she finds her brothers, who have been fed by the honey of the Hindis in the wilderness. At the age of seven, she becomes swallow-shaped and plays on the water. She marries her brother-in-law, who has been given a golden chain, but who has no human form since the youth has been born, and who has not been given the gold chain. When they return home, they find that the young woman has been transformed into swallow, and that she has lost all her human forms. In this way, the young man is able to make a cup of gold from the chains and becomes his wife.",hDE-EN,0.3822393822393822,0.1776061776061775,0.54144615,0.5592946,0.5502257,-4.367808818817139,0.5691677970478499,-0.18702051,208-1,10.951527314383366,0.95854389667511,0.4272915675585599,0.4861274579990707,0.4763214762589854,8.5
1.0,1.0,2.0,1.0,208.0,1,3,"A young knight hunts a white hind and finds a beautiful maiden with a gold chain at a river, which he takes from her and leads her home as a bride. But his mother hates her, takes her seven newborn children and puts down dogs for them. A servant is supposed to kill the children in the forest, but fails to do so and leaves them there. The beauty is buried up to her chest, gets only dog food, above her a washbasin, everyone dries their hands on her hair, for seven years. Once in the forest the knight sees the children with their gold chains. His mother is frightened, the servant has to look for them and have the chains melted down. The goldsmith succeeds only with one. Without the chains, the sons must remain swans. At the mountain lake, the knight lets them feed. Their sister begs and shares with their mother. They do not know each other, but resemble each other so much that the knight lets the child tell. His mother still tries to have it killed by the servant, is herself put into the hole, the swans redeemed, except for one, of which one finds ""in many a book much strange adventure described.""","A rich and beautiful young knight has to fight in the forest for seven years. He sees a white hind (Hirschkuh) with a golden necklace in her hand. When he tries to kill the hind, the knight finds a golden ring in the woods. The knight's mother tells him to give it to the hind. The hind has a ring in it, the hind has gold chains, and the hind hates it. When the hind thinks that the hind is his wife, he sends the hind back to the castle, where the hind's parents are dead. In the process the hind becomes a snake, but when the hind returns, it is his mother who gives the hind the golden chains. She gives him a ring, but the hind does not recognize the snake's human form. He takes it from the hind and gives it to his mother, who gives him the ring, and then the hind to his daughter. The young knee-maker, however, does not believe in the human form of the hind until the hind turns into a swallow. The swallow turns out to be swallows and the swallow becomes human. When she returns home, she finds her brothers, who have been fed by the honey of the Hindis in the wilderness. At the age of seven, she becomes swallow-shaped and plays on the water. She marries her brother-in-law, who has been given a golden chain, but who has no human form since the youth has been born, and who has not been given the gold chain. When they return home, they find that the young woman has been transformed into swallow, and that she has lost all her human forms. In this way, the young man is able to make a cup of gold from the chains and becomes his wife.",hDE-EN,0.3822393822393822,0.1776061776061775,0.54144615,0.5592946,0.5502257,-4.367808818817139,0.5691677970478499,-0.18702051,208-1,10.951527314383366,0.95854389667511,0.4272915675585599,0.4861274579990707,0.4763214762589854,5.0
1.0,2.5,3.5,2.0,208.0,1,1,"A young knight hunts a white hind and finds a beautiful maiden with a gold chain at a river, which he takes from her and leads her home as a bride. But his mother hates her, takes her seven newborn children and puts down dogs for them. A servant is supposed to kill the children in the forest, but fails to do so and leaves them there. The beauty is buried up to her chest, gets only dog food, above her a washbasin, everyone dries their hands on her hair, for seven years. Once in the forest the knight sees the children with their gold chains. His mother is frightened, the servant has to look for them and have the chains melted down. The goldsmith succeeds only with one. Without the chains, the sons must remain swans. At the mountain lake, the knight lets them feed. Their sister begs and shares with their mother. They do not know each other, but resemble each other so much that the knight lets the child tell. His mother still tries to have it killed by the servant, is herself put into the hole, the swans redeemed, except for one, of which one finds ""in many a book much strange adventure described.""","A rich and beautiful young knight has to fight in the forest for seven years. He sees a white hind (Hirschkuh) with a golden necklace in her hand. When he tries to kill the hind, the knight finds a golden ring in the woods. The knight's mother tells him to give it to the hind. The hind has a ring in it, the hind has gold chains, and the hind hates it. When the hind thinks that the hind is his wife, he sends the hind back to the castle, where the hind's parents are dead. In the process the hind becomes a snake, but when the hind returns, it is his mother who gives the hind the golden chains. She gives him a ring, but the hind does not recognize the snake's human form. He takes it from the hind and gives it to his mother, who gives him the ring, and then the hind to his daughter. The young knee-maker, however, does not believe in the human form of the hind until the hind turns into a swallow. The swallow turns out to be swallows and the swallow becomes human. When she returns home, she finds her brothers, who have been fed by the honey of the Hindis in the wilderness. At the age of seven, she becomes swallow-shaped and plays on the water. She marries her brother-in-law, who has been given a golden chain, but who has no human form since the youth has been born, and who has not been given the gold chain. When they return home, they find that the young woman has been transformed into swallow, and that she has lost all her human forms. In this way, the young man is able to make a cup of gold from the chains and becomes his wife.",hDE-EN,0.3822393822393822,0.1776061776061775,0.54144615,0.5592946,0.5502257,-4.367808818817139,0.5691677970478499,-0.18702051,208-1,10.951527314383366,0.95854389667511,0.4272915675585599,0.4861274579990707,0.4763214762589854,9.0
1.0,1.0,2.5,1.5,208.0,1,4,"A young knight hunts a white hind and finds a beautiful maiden with a gold chain at a river, which he takes from her and leads her home as a bride. But his mother hates her, takes her seven newborn children and puts down dogs for them. A servant is supposed to kill the children in the forest, but fails to do so and leaves them there. The beauty is buried up to her chest, gets only dog food, above her a washbasin, everyone dries their hands on her hair, for seven years. Once in the forest the knight sees the children with their gold chains. His mother is frightened, the servant has to look for them and have the chains melted down. The goldsmith succeeds only with one. Without the chains, the sons must remain swans. At the mountain lake, the knight lets them feed. Their sister begs and shares with their mother. They do not know each other, but resemble each other so much that the knight lets the child tell. His mother still tries to have it killed by the servant, is herself put into the hole, the swans redeemed, except for one, of which one finds ""in many a book much strange adventure described.""","A rich and beautiful young knight has to fight in the forest for seven years. He sees a white hind (Hirschkuh) with a golden necklace in her hand. When he tries to kill the hind, the knight finds a golden ring in the woods. The knight's mother tells him to give it to the hind. The hind has a ring in it, the hind has gold chains, and the hind hates it. When the hind thinks that the hind is his wife, he sends the hind back to the castle, where the hind's parents are dead. In the process the hind becomes a snake, but when the hind returns, it is his mother who gives the hind the golden chains. She gives him a ring, but the hind does not recognize the snake's human form. He takes it from the hind and gives it to his mother, who gives him the ring, and then the hind to his daughter. The young knee-maker, however, does not believe in the human form of the hind until the hind turns into a swallow. The swallow turns out to be swallows and the swallow becomes human. When she returns home, she finds her brothers, who have been fed by the honey of the Hindis in the wilderness. At the age of seven, she becomes swallow-shaped and plays on the water. She marries her brother-in-law, who has been given a golden chain, but who has no human form since the youth has been born, and who has not been given the gold chain. When they return home, they find that the young woman has been transformed into swallow, and that she has lost all her human forms. In this way, the young man is able to make a cup of gold from the chains and becomes his wife.",hDE-EN,0.3822393822393822,0.1776061776061775,0.54144615,0.5592946,0.5502257,-4.367808818817139,0.5691677970478499,-0.18702051,208-1,10.951527314383366,0.95854389667511,0.4272915675585599,0.4861274579990707,0.4763214762589854,6.0
3.0,1.5,3.5,1.5,208.0,1,5,"A young knight hunts a white hind and finds a beautiful maiden with a gold chain at a river, which he takes from her and leads her home as a bride. But his mother hates her, takes her seven newborn children and puts down dogs for them. A servant is supposed to kill the children in the forest, but fails to do so and leaves them there. The beauty is buried up to her chest, gets only dog food, above her a washbasin, everyone dries their hands on her hair, for seven years. Once in the forest the knight sees the children with their gold chains. His mother is frightened, the servant has to look for them and have the chains melted down. The goldsmith succeeds only with one. Without the chains, the sons must remain swans. At the mountain lake, the knight lets them feed. Their sister begs and shares with their mother. They do not know each other, but resemble each other so much that the knight lets the child tell. His mother still tries to have it killed by the servant, is herself put into the hole, the swans redeemed, except for one, of which one finds ""in many a book much strange adventure described.""","A rich and beautiful young knight has to fight in the forest for seven years. He sees a white hind (Hirschkuh) with a golden necklace in her hand. When he tries to kill the hind, the knight finds a golden ring in the woods. The knight's mother tells him to give it to the hind. The hind has a ring in it, the hind has gold chains, and the hind hates it. When the hind thinks that the hind is his wife, he sends the hind back to the castle, where the hind's parents are dead. In the process the hind becomes a snake, but when the hind returns, it is his mother who gives the hind the golden chains. She gives him a ring, but the hind does not recognize the snake's human form. He takes it from the hind and gives it to his mother, who gives him the ring, and then the hind to his daughter. The young knee-maker, however, does not believe in the human form of the hind until the hind turns into a swallow. The swallow turns out to be swallows and the swallow becomes human. When she returns home, she finds her brothers, who have been fed by the honey of the Hindis in the wilderness. At the age of seven, she becomes swallow-shaped and plays on the water. She marries her brother-in-law, who has been given a golden chain, but who has no human form since the youth has been born, and who has not been given the gold chain. When they return home, they find that the young woman has been transformed into swallow, and that she has lost all her human forms. In this way, the young man is able to make a cup of gold from the chains and becomes his wife.",hDE-EN,0.3822393822393822,0.1776061776061775,0.54144615,0.5592946,0.5502257,-4.367808818817139,0.5691677970478499,-0.18702051,208-1,10.951527314383366,0.95854389667511,0.4272915675585599,0.4861274579990707,0.4763214762589854,9.5
